,sex,cabin,CabinReduced,sex_mapped,cabin_mapped,CabinReduced_mapped
604,female,,,0,0,0
627,female,,,0,0,0
660,female,,,0,0,0
582,female,,,0,0,0
723,male,,,1,0,0
171,male,,,1,0,0
677,male,,,1,0,0
238,female,B3,B,0,79,4
700,male,,,1,0,0
986,male,,,1,0,0
1014,female,,,0,0,0
709,female,,,0,0,0
1285,male,,,1,0,0
321,male,,,1,0,0
120,male,D40,D,1,80,3
1161,male,,,1,0,0
155,female,B69,B,0,33,4
1112,female,,,0,0,0
624,female,,,0,0,0
138,male,C91,C,1,81,2
125,male,B102,B,1,82,4
456,female,,,0,0,0
66,female,B61,B,0,83,4
831,male,,,1,0,0
881,male,,,1,0,0
1153,female,,,0,0,0
626,female,,,0,0,0
605,male,F G63,F,1,84,6
1294,male,,,1,0,0
1133,male,,,1,0,0
178,female,D19,D,0,70,3
1081,female,,,0,0,0
415,female,,,0,0,0
100,male,A20,A,1,85,5
871,male,,,1,0,0
1165,male,,,1,0,0
741,male,,,1,0,0
334,male,,,1,0,0
114,male,C23 C25 C27,C,1,65,2
681,female,,,0,0,0
220,female,B36,B,0,86,4
391,male,,,1,0,0
1202,male,,,1,0,0
309,female,C7,C,0,87,2
1154,male,,,1,0,0
1222,male,,,1,0,0
527,male,,,1,0,0
927,male,,,1,0,0
245,female,B77,B,0,88,4
685,male,,,1,0,0
518,male,,,1,0,0
1017,male,,,1,0,0
861,female,,,0,0,0
394,male,,,1,0,0
640,male,,,1,0,0
104,female,D20,D,0,89,3
1233,male,,,1,0,0
1031,male,,,1,0,0
979,male,,,1,0,0
51,male,B51 B53 B55,B,1,52,4
602,male,,,1,0,0
354,male,,,1,0,0
1226,male,,,1,0,0
460,female,,,0,0,0
22,male,C148,C,1,90,2
374,male,,,1,0,0
538,male,,,1,0,0
218,female,C105,C,0,91,2
585,male,,,1,0,0
944,male,,,1,0,0
841,female,,,0,0,0
879,male,,,1,0,0
414,male,,,1,0,0
205,male,E38,E,1,92,1
1061,female,,,0,0,0
497,male,,,1,0,0
516,male,F2,F,1,61,6
702,female,,,0,0,0
676,male,,,1,0,0
375,male,,,1,0,0
185,male,,,1,0,0
404,male,,,1,0,0
706,female,,,0,0,0
1277,male,,,1,0,0
401,female,,,0,0,0
856,female,,,0,0,0
1063,male,,,1,0,0
441,female,,,0,0,0
132,male,B86,B,1,93,4
745,female,,,0,0,0
173,male,C132,C,1,94,2
690,male,,,1,0,0
825,male,,,1,0,0
827,male,,,1,0,0
428,female,,,0,0,0
915,male,,,1,0,0
1288,male,,,1,0,0
1126,female,,,0,0,0
718,male,,,1,0,0
282,female,D20,D,0,89,3
96,male,C86,C,1,95,2
957,female,,,0,0,0
635,male,,,1,0,0
738,female,,,0,0,0
499,male,,,1,0,0
74,male,A14,A,1,96,5
89,male,B71,B,1,59,4
984,female,,,0,0,0
691,male,,,1,0,0
1113,female,,,0,0,0
0,female,B5,B,0,42,4
558,female,,,0,0,0
683,male,,,1,0,0
392,female,,,0,0,0
476,male,,,1,0,0
1159,female,,,0,0,0
519,male,,,1,0,0
107,female,,,0,0,0
347,male,,,1,0,0
1101,male,,,1,0,0
1029,male,,,1,0,0
223,male,,,1,0,0
1303,male,,,1,0,0
327,male,,,1,0,0
870,female,,,0,0,0
102,female,C54,C,0,97,2
1086,female,,,0,0,0
620,male,,,1,0,0
475,female,,,0,0,0
213,female,D36,D,0,16,3
707,male,,,1,0,0
135,male,A5,A,1,98,5
852,female,,,0,0,0
246,male,,,1,0,0
1290,female,,,0,0,0
1083,male,,,1,0,0
1177,male,,,1,0,0
1032,male,,,1,0,0
1096,male,,,1,0,0
1011,female,,,0,0,0
989,male,,,1,0,0
365,female,,,0,0,0
248,male,,,1,0,0
736,male,,,1,0,0
26,male,B49,B,1,99,4
836,male,,,1,0,0
284,female,B28,B,0,100,4
417,male,,,1,0,0
913,male,,,1,0,0
680,male,,,1,0,0
904,male,,,1,0,0
3,male,C22 C26,C,1,4,2
134,female,C92,C,0,74,2
837,male,,,1,0,0
355,female,,,0,0,0
292,male,C126,C,1,66,2
698,male,,,1,0,0
1136,female,,,0,0,0
1116,male,,,1,0,0
1261,female,,,0,0,0
906,male,,,1,0,0
897,male,,,1,0,0
1010,male,,,1,0,0
228,male,C65,C,1,77,2
643,female,,,0,0,0
225,male,B24,B,1,101,4
226,male,C2,C,1,102,2
842,male,,,1,0,0
369,female,,,0,0,0
1185,male,,,1,0,0
844,male,,,1,0,0
339,male,F4,F,1,103,6
419,male,,,1,0,0
1123,female,,,0,0,0
603,female,,,0,0,0
1180,female,,,0,0,0
265,male,A6,A,1,104,5
454,male,,,1,0,0
63,female,E31,E,0,41,1
1127,male,,,1,0,0
1049,male,,,1,0,0
360,male,,,1,0,0
237,male,,,1,0,0
650,female,,,0,0,0
112,female,C23 C25 C27,C,0,65,2
1238,male,,,1,0,0
1088,male,,,1,0,0
532,male,,,1,0,0
577,female,,,0,0,0
810,male,,,1,0,0
126,male,C123,C,1,35,2
259,male,,,1,0,0
1074,male,,,1,0,0
148,male,C83,C,1,105,2
721,male,,,1,0,0
1038,male,,,1,0,0
376,male,,,1,0,0
851,female,,,0,0,0
896,male,,,1,0,0
694,male,,,1,0,0
137,female,B42,B,0,106,4
1057,female,,,0,0,0
7,male,A36,A,1,107,5
502,female,,,0,0,0
854,male,,,1,0,0
631,male,,,1,0,0
1120,male,,,1,0,0
371,female,,,0,0,0
929,male,,,1,0,0
29,male,C52,C,1,108,2
411,female,,,0,0,0
407,female,,,0,0,0
1275,male,,,1,0,0
357,male,,,1,0,0
353,female,,,0,0,0
788,male,,,1,0,0
153,female,C54,C,0,97,2
566,male,,,1,0,0
542,female,,,0,0,0
343,male,D56,D,1,109,3
305,male,,,1,0,0
612,female,,,0,0,0
4,female,C22 C26,C,0,4,2
280,male,C116,C,1,110,2
1121,male,,,1,0,0
1229,male,,,1,0,0
1266,male,,,1,0,0
56,male,B96 B98,B,1,24,4
400,female,,,0,0,0
572,female,,,0,0,0
962,male,,,1,0,0
473,male,,,1,0,0
468,female,,,0,0,0
1044,female,,,0,0,0
1058,female,,,0,0,0
1237,male,,,1,0,0
1018,male,,,1,0,0
776,male,,,1,0,0
847,male,,,1,0,0
504,male,,,1,0,0
534,female,,,0,0,0
720,male,,,1,0,0
903,female,,,0,0,0
13,female,,,0,0,0
648,male,,,1,0,0
679,female,,,0,0,0
550,female,,,0,0,0
838,male,,,1,0,0
1163,male,,,1,0,0
781,male,,,1,0,0
300,male,B19,B,1,111,4
1062,male,,,1,0,0
1055,male,,,1,0,0
945,male,,,1,0,0
570,female,,,0,0,0
163,female,,,0,0,0
636,female,,,0,0,0
666,female,,,0,0,0
336,male,,,1,0,0
59,female,,,0,0,0
1175,female,,,0,0,0
1219,male,,,1,0,0
53,male,,,1,0,0
490,female,E77,E,0,112,1
326,male,,,1,0,0
449,female,,,0,0,0
855,male,,,1,0,0
1025,male,E121,E,1,34,1
1016,male,,,1,0,0
1107,male,,,1,0,0
823,female,,,0,0,0
939,female,,,0,0,0
826,male,,,1,0,0
437,female,,,0,0,0
670,male,,,1,0,0
563,male,,,1,0,0
1097,male,,,1,0,0
1224,male,,,1,0,0
786,male,,,1,0,0
873,male,F G63,F,1,84,6
1282,male,,,1,0,0
819,female,,,0,0,0
219,male,,,1,0,0
1196,male,,,1,0,0
1006,female,,,0,0,0
820,male,,,1,0,0
586,female,,,0,0,0
941,male,F E57,F,1,113,6
348,male,,,1,0,0
1235,male,,,1,0,0
463,male,,,1,0,0
1220,male,,,1,0,0
653,female,,,0,0,0
573,female,E101,E,0,114,1
647,female,,,0,0,0
595,male,,,1,0,0
890,male,,,1,0,0
470,male,,,1,0,0
800,female,,,0,0,0
281,female,C116,C,0,110,2
932,female,,,0,0,0
732,male,,,1,0,0
715,male,,,1,0,0
832,female,,,0,0,0
951,male,,,1,0,0
1037,female,,,0,0,0
455,male,,,1,0,0
584,female,E101,E,0,114,1
147,male,,,1,0,0
160,female,B18,B,0,115,4
750,male,,,1,0,0
859,female,,,0,0,0
952,male,,,1,0,0
1300,female,,,0,0,0
628,female,,,0,0,0
606,male,,,1,0,0
164,male,,,1,0,0
106,male,C95,C,1,116,2
1040,female,,,0,0,0
617,male,,,1,0,0
1091,female,,,0,0,0
329,female,,,0,0,0
480,male,,,1,0,0
498,male,,,1,0,0
1214,male,,,1,0,0
93,male,A34,A,1,37,5
809,male,,,1,0,0
433,male,,,1,0,0
43,female,D15,D,0,117,3
860,female,,,0,0,0
1144,male,,,1,0,0
967,female,,,0,0,0
710,female,,,0,0,0
1276,female,,,0,0,0
1245,male,,,1,0,0
765,female,,,0,0,0
885,male,,,1,0,0
556,male,,,1,0,0
1242,male,,,1,0,0
69,female,E33,E,0,118,1
514,male,F2,F,1,61,6
509,male,,,1,0,0
340,female,F4,F,0,103,6
221,male,B30,B,1,119,4
146,female,D33,D,0,29,3
1053,male,,,1,0,0
803,male,,,1,0,0
508,male,,,1,0,0
1169,male,,,1,0,0
176,female,D21,D,0,120,3
804,male,,,1,0,0
168,female,B28,B,0,100,4
1131,male,E10,E,1,121,1
1199,male,,,1,0,0
129,female,C130,C,0,122,2
189,male,D6,D,1,123,3
136,male,C51,C,1,124,2
894,male,,,1,0,0
197,male,D30,D,1,125,3
290,male,E67,E,1,126,1
36,female,E33,E,0,118,1
767,male,,,1,0,0
232,male,C110,C,1,127,2
645,male,,,1,0,0
33,female,C103,C,0,128,2
1263,male,,,1,0,0
1068,male,,,1,0,0
865,female,,,0,0,0
341,female,F4,F,0,103,6
1085,male,,,1,0,0
199,female,C90,C,0,129,2
429,male,,,1,0,0
1289,male,,,1,0,0
876,male,,,1,0,0
730,male,,,1,0,0
919,male,,,1,0,0
297,female,,,0,0,0
73,female,,,0,0,0
807,female,,,0,0,0
547,male,,,1,0,0
949,male,,,1,0,0
1186,male,,,1,0,0
821,male,,,1,0,0
663,male,,,1,0,0
1176,male,,,1,0,0
623,female,,,0,0,0
212,male,C118,C,1,130,2
1035,male,,,1,0,0
1184,male,,,1,0,0
1211,female,,,0,0,0
727,male,,,1,0,0
701,male,,,1,0,0
1022,male,,,1,0,0
1250,male,,,1,0,0
234,male,,,1,0,0
1007,female,,,0,0,0
978,male,,,1,0,0
67,female,B77,B,0,88,4
24,female,C97,C,0,131,2
216,female,D47,D,0,132,3
812,male,,,1,0,0
735,female,,,0,0,0
111,female,C23 C25 C27,C,0,65,2
166,male,,,1,0,0
1248,male,,,1,0,0
207,female,C78,C,0,26,2
274,male,E34,E,1,133,1
41,female,B4,B,0,134,4
591,female,,,0,0,0
525,male,,,1,0,0
287,male,D50,D,1,135,3
469,female,E101,E,0,114,1
121,female,,,0,0,0
1304,female,,,0,0,0
928,female,,,0,0,0
673,male,,,1,0,0
1141,male,,,1,0,0
886,female,,,0,0,0
956,female,,,0,0,0
25,male,,,1,0,0
1134,male,,,1,0,0
149,female,C83,C,0,105,2
925,male,,,1,0,0
696,female,,,0,0,0
843,male,,,1,0,0
889,male,,,1,0,0
598,female,,,0,0,0
1020,male,,,1,0,0
139,female,C125,C,0,17,2
749,female,,,0,0,0
1004,female,,,0,0,0
323,male,,,1,0,0
180,female,,,0,0,0
450,male,,,1,0,0
607,female,,,0,0,0
1043,female,,,0,0,0
296,female,C68,C,0,2,2
94,male,A34,A,1,37,5
1187,female,G6,G,0,25,8
637,male,,,1,0,0
286,female,C55 C57,C,0,62,2
488,male,,,1,0,0
444,male,,,1,0,0
275,female,E34,E,0,133,1
806,female,,,0,0,0
1152,male,,,1,0,0
32,female,C7,C,0,87,2
1104,male,,,1,0,0
307,male,D26,D,1,56,3
770,male,,,1,0,0
11,female,C62 C64,C,0,136,2
872,female,,,0,0,0
1067,female,,,0,0,0
86,male,E17,E,1,137,1
778,female,,,0,0,0
1060,female,,,0,0,0
1297,male,,,1,0,0
1082,male,,,1,0,0
1065,male,,,1,0,0
782,male,,,1,0,0
562,female,,,0,0,0
209,male,C78,C,1,26,2
1172,female,,,0,0,0
739,male,,,1,0,0
594,male,,,1,0,0
123,male,B41,B,1,138,4
734,male,,,1,0,0
931,male,,,1,0,0
98,female,C86,C,0,95,2
377,female,,,0,0,0
130,female,,,0,0,0
23,female,,,0,0,0
1228,male,,,1,0,0
555,male,,,1,0,0
370,female,,,0,0,0
383,male,,,1,0,0
201,male,E46,E,1,69,1
917,male,,,1,0,0
368,male,,,1,0,0
973,male,,,1,0,0
387,female,,,0,0,0
816,male,,,1,0,0
256,male,,,1,0,0
1119,male,,,1,0,0
169,female,C49,C,0,139,2
560,female,,,0,0,0
373,female,,,0,0,0
909,male,,,1,0,0
719,male,,,1,0,0
791,male,,,1,0,0
954,male,,,1,0,0
1167,male,,,1,0,0
1204,male,,,1,0,0
868,male,,,1,0,0
972,male,,,1,0,0
1155,male,,,1,0,0
1274,male,,,1,0,0
1071,female,,,0,0,0
964,male,,,1,0,0
774,male,,,1,0,0
324,female,,,0,0,0
203,male,,,1,0,0
84,male,C85,C,1,140,2
633,male,,,1,0,0
908,female,,,0,0,0
611,male,,,1,0,0
398,male,,,1,0,0
91,male,B20,B,1,141,4
1106,female,,,0,0,0
430,female,,,0,0,0
779,female,,,0,0,0
1143,male,,,1,0,0
291,female,E67,E,0,126,1
57,female,B96 B98,B,0,24,4
257,female,C28,C,0,142,2
888,male,,,1,0,0
1272,male,,,1,0,0
1066,male,,,1,0,0
388,female,,,0,0,0
335,male,,,1,0,0
273,male,E34,E,1,133,1
756,male,,,1,0,0
1077,female,,,0,0,0
1262,male,,,1,0,0
128,male,E63,E,1,143,1
802,male,,,1,0,0
28,female,C99,C,0,144,2
1207,male,,,1,0,0
882,male,,,1,0,0
510,male,,,1,0,0
675,male,,,1,0,0
151,male,D49,D,1,145,3
244,male,A10,A,1,146,5
714,male,,,1,0,0
543,male,,,1,0,0
544,male,,,1,0,0
639,male,,,1,0,0
697,female,,,0,0,0
423,male,,,1,0,0
910,male,,,1,0,0
1171,male,,,1,0,0
659,female,,,0,0,0
797,male,,,1,0,0
1286,female,,,0,0,0
1201,male,,,1,0,0
99,female,A16,A,0,147,5
850,male,,,1,0,0
448,male,,,1,0,0
755,male,,,1,0,0
976,male,,,1,0,0
115,male,C23 C25 C27,C,1,65,2
777,male,,,1,0,0
72,female,C89,C,0,63,2
845,female,,,0,0,0
537,male,,,1,0,0
849,male,,,1,0,0
174,male,B37,B,1,148,4
87,male,,,1,0,0
551,female,,,0,0,0
705,male,,,1,0,0
314,female,C80,C,0,149,2
600,male,,,1,0,0
1094,female,,,0,0,0
599,female,,,0,0,0
277,female,B78,B,0,150,4
1033,male,,,1,0,0
763,female,,,0,0,0
835,male,,,1,0,0
1216,female,,,0,0,0
559,female,,,0,0,0
684,female,,,0,0,0
