,survived
219,1
1196,1
1006,1
820,1
586,1
941,1
348,0
1235,0
463,0
1220,0
653,1
573,1
647,1
595,0
890,0
470,0
800,0
281,1
932,0
732,0
715,0
832,0
951,0
1037,1
455,0
584,1
147,0
160,1
750,0
859,0
952,0
1300,1
628,0
606,1
164,1
106,0
1040,1
617,0
1091,0
329,1
480,0
498,0
1214,0
93,1
809,0
433,0
43,1
860,1
1144,0
967,0
710,0
1276,0
1245,0
765,1
885,0
556,0
1242,0
69,1
514,1
509,0
340,1
221,0
146,1
1053,0
803,0
508,0
1169,0
176,1
804,0
168,1
1131,1
1199,0
129,1
189,0
136,1
894,1
197,0
290,0
36,1
767,0
232,0
645,1
33,1
1263,0
1068,0
865,0
341,1
1085,0
199,1
429,0
1289,0
876,0
730,0
919,0
297,1
73,1
807,0
547,0
949,1
1186,0
821,0
663,0
1176,0
623,0
212,0
1035,1
1184,0
1211,0
727,0
701,0
1022,0
1250,0
234,0
1007,1
978,1
67,1
24,1
216,1
812,0
735,1
111,1
166,0
1248,0
207,1
274,1
41,1
591,1
525,0
287,0
469,1
121,1
1304,0
928,0
673,0
1141,0
886,1
956,0
25,0
1134,0
149,1
925,0
696,0
843,0
889,1
598,1
1020,0
139,1
749,0
1004,1
323,0
180,1
450,0
607,1
1043,1
296,1
94,1
1187,1
637,0
286,0
488,0
444,0
275,1
806,0
1152,0
32,1
1104,0
307,0
770,0
11,1
872,1
1067,1
86,1
778,1
1060,1
1297,0
1082,1
1065,0
782,0
562,1
209,1
1172,0
739,0
594,0
123,1
734,1
931,0
98,1
377,1
130,1
23,1
1228,1
555,0
370,1
383,0
201,0
917,1
368,0
973,0
387,1
816,0
256,1
1119,0
169,0
560,1
373,1
909,1
719,1
791,0
954,0
1167,0
1204,0
868,0
972,0
1155,0
1274,0
1071,1
964,0
774,0
324,1
203,0
84,0
633,0
908,0
611,1
398,1
91,1
1106,0
430,1
779,0
1143,0
291,1
57,1
257,1
888,0
1272,0
1066,0
388,1
335,0
273,1
756,0
1077,1
1262,0
128,0
802,0
28,1
1207,0
882,0
510,0
675,0
151,1
244,0
714,1
543,0
544,0
639,0
697,0
423,0
910,0
1171,0
659,1
797,0
1286,1
1201,0
99,1
850,0
448,0
755,0
976,0
115,0
777,1
72,1
845,1
537,0
849,0
174,0
87,1
551,1
705,0
314,1
600,0
1094,1
599,0
277,1
1033,1
763,1
835,0
1216,1
559,1
684,0
